Hundee |Root|,Jirma |Stem|,Ani |I|,Nuti |We|,Ati |You|,Isin |You|,Inni |He|,Isheen |She|,Isaan |They|
baafanne,baafat_,Ani baafate,Nuti baafatne,Ati baafatte,Isin baafattan,Inni baafate,Isheen baafatte,Isaan baafatan
baafate,baafat_,Ani baafate,Nuti baafatne,Ati baafatte,Isin baafattan,Inni baafate,Isheen baafatte,Isaan baafatan
baafatu,baafat_,Ani baafate,Nuti baafatne,Ati baafatte,Isin baafattan,Inni baafate,Isheen baafatte,Isaan baafatan
baafte,baaf_,Ani baafe,Nuti baafne,Ati baafte,Isin baaftan,Inni baafe,Isheen baafte,Isaan baafan
baane,baa_,Ani baae,Nuti baane,Ati baate,Isin baatan,Inni baae,Isheen baate,Isaan baaan
baanu,baan_,Ani baane,Nuti baanne,Ati baante,Isin baantan,Inni baane,Isheen baante,Isaan baanan
baasan,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
baase,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
baasise,baasis_,Ani baasise,Nuti baasisne,Ati baasiste,Isin baasistan,Inni baasise,Isheen baasiste,Isaan baasisan
baaste,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
baasuu,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
baasuun,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
baate,baat_,Ani baate,Nuti baatne,Ati baatte,Isin baattan,Inni baate,Isheen baatte,Isaan baatan
baatu,baat_,Ani baate,Nuti baatne,Ati baatte,Isin baattan,Inni baate,Isheen baatte,Isaan baatan
baay'achuun,baay'at_,Ani baay'ate,Nuti baay'atne,Ati baay'atte,Isin baay'attan,Inni baay'ate,Isheen baay'atte,Isaan baay'atan
babala'achuun,babala'at_,Ani babala'ate,Nuti babala'atne,Ati babala'atte,Isin babala'attan,Inni babala'ate,Isheen babala'atte,Isaan babala'atan
babala'atu,babala'at_,Ani babala'ate,Nuti babala'atne,Ati babala'atte,Isin babala'attan,Inni babala'ate,Isheen babala'atte,Isaan babala'atan
babal'achuu,babal'at_,Ani babal'ate,Nuti babal'atne,Ati babal'atte,Isin babal'attan,Inni babal'ate,Isheen babal'atte,Isaan babal'atan
babal'ifne,babal'if_,Ani babal'ife,Nuti babal'ifne,Ati babal'ifte,Isin babal'iftan,Inni babal'ife,Isheen babal'ifte,Isaan babal'ifan
babal'isuun,babal'is_,Ani babal'ise,Nuti babal'isne,Ati babal'iste,Isin babal'istan,Inni babal'ise,Isheen babal'iste,Isaan babal'isan
bade,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
badu,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
baduun,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
bahamuu,baham_,Ani bahame,Nuti bahamne,Ati bahamte,Isin bahamtan,Inni bahame,Isheen bahamte,Isaan bahaman
bahamuun,baham_,Ani bahame,Nuti bahamne,Ati bahamte,Isin bahamtan,Inni bahame,Isheen bahamte,Isaan bahaman
bahan,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahe,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahu,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahuu,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahuun,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
balaaleffachuu,balaaleffat_,Ani balaaleffate,Nuti balaaleffatne,Ati balaaleffatte,Isin balaaleffattan,Inni balaaleffate,Isheen balaaleffatte,Isaan balaaleffatan
balaaleffachuun,balaaleffach_,Ani balaaleffache,Nuti balaaleffachne,Ati balaaleffachte,Isin balaaleffachtan,Inni balaaleffache,Isheen balaaleffachte,Isaan balaaleffachan
balfan,balf_,Ani balfe,Nuti balfne,Ati balfte,Isin balftan,Inni balfe,Isheen balfte,Isaan balfan
balfuufiyyuu,balfuufiyy_,Ani balfuufiyye,Nuti balfuufiyyne,Ati balfuufiyyte,Isin balfuufiyytan,Inni balfuufiyye,Isheen balfuufiyyte,Isaan balfuufiyyan
balleessuu,balleess_,Ani balleesse,Nuti balleessne,Ati balleesste,Isin balleesstan,Inni balleesse,Isheen balleesste,Isaan balleessan
balleessuun,balleess_,Ani balleesse,Nuti balleessne,Ati balleesste,Isin balleesstan,Inni balleesse,Isheen balleesste,Isaan balleessan
baname,banam_,Ani baname,Nuti banamne,Ati banamte,Isin banamtan,Inni baname,Isheen banamte,Isaan banaman
banamuun,banam_,Ani baname,Nuti banamne,Ati banamte,Isin banamtan,Inni baname,Isheen banamte,Isaan banaman
bane,ba_,Ani bae,Nuti bane,Ati bate,Isin batan,Inni bae,Isheen bate,Isaan baan
baqsuu,baqs_,Ani baqse,Nuti baqsne,Ati baqste,Isin baqstan,Inni baqse,Isheen baqste,Isaan baqsan
barachuu,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
barachuun,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
baranne,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
baratame,baratam_,Ani baratame,Nuti baratamne,Ati baratamte,Isin baratamtan,Inni baratame,Isheen baratamte,Isaan barataman
baratamu,baratam_,Ani baratame,Nuti baratamne,Ati baratamte,Isin baratamtan,Inni baratame,Isheen baratamte,Isaan barataman
baratan,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
barate,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
baratu,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
barbaachifne,barbaachif_,Ani barbaachife,Nuti barbaachifne,Ati barbaachifte,Isin barbaachiftan,Inni barbaachife,Isheen barbaachifte,Isaan barbaachifan
barbaachise,barbaachis_,Ani barbaachise,Nuti barbaachisne,Ati barbaachiste,Isin barbaachistan,Inni barbaachise,Isheen barbaachiste,Isaan barbaachisan
barbaachisu,barbaachis_,Ani barbaachise,Nuti barbaachisne,Ati barbaachiste,Isin barbaachistan,Inni barbaachise,Isheen barbaachiste,Isaan barbaachisan
barbaachisuu,barbaachis_,Ani barbaachise,Nuti barbaachisne,Ati barbaachiste,Isin barbaachistan,Inni barbaachise,Isheen barbaachiste,Isaan barbaachisan
barbaadame,barbaadam_,Ani barbaadame,Nuti barbaadamne,Ati barbaadamte,Isin barbaadamtan,Inni barbaadame,Isheen barbaadamte,Isaan barbaadaman
barbaadamu,barbaadam_,Ani barbaadame,Nuti barbaadamne,Ati barbaadamte,Isin barbaadamtan,Inni barbaadame,Isheen barbaadamte,Isaan barbaadaman
barbaadamuu,barbaadam_,Ani barbaadame,Nuti barbaadamne,Ati barbaadamte,Isin barbaadamtan,Inni barbaadame,Isheen barbaadamte,Isaan barbaadaman
barbaadamuun,barbaadam_,Ani barbaadame,Nuti barbaadamne,Ati barbaadamte,Isin barbaadamtan,Inni barbaadame,Isheen barbaadamte,Isaan barbaadaman
barbaadan,barbaad_,Ani barbaade,Nuti barbaadne,Ati barbaadte,Isin barbaadtan,Inni barbaade,Isheen barbaadte,Isaan barbaadan
barbaaddachuun,barbaaddat_,Ani barbaaddate,Nuti barbaaddatne,Ati barbaaddatte,Isin barbaaddattan,Inni barbaaddate,Isheen barbaaddatte,Isaan barbaaddatan
barbaaddu,barbaad_,Ani barbaade,Nuti barbaadne,Ati barbaadte,Isin barbaadtan,Inni barbaade,Isheen barbaadte,Isaan barbaadan
barbaadu,barbaad_,Ani barbaade,Nuti barbaadne,Ati barbaadte,Isin barbaadtan,Inni barbaade,Isheen barbaadte,Isaan barbaadan
barbaaduu,barbaad_,Ani barbaade,Nuti barbaadne,Ati barbaadte,Isin barbaadtan,Inni barbaade,Isheen barbaadte,Isaan barbaadan
barbaanne,barbaat_,Ani barbaate,Nuti barbaatne,Ati barbaatte,Isin barbaattan,Inni barbaate,Isheen barbaatte,Isaan barbaatan
barbaannuu,barbaann_,Ani barbaanne,Nuti barbaannne,Ati barbaannte,Isin barbaanntan,Inni barbaanne,Isheen barbaannte,Isaan barbaannan
barbadaa'uu,barbadaa'_,Ani barbadaa'e,Nuti barbadaa'ne,Ati barbadaa'te,Isin barbadaa'tan,Inni barbadaa'e,Isheen barbadaa'te,Isaan barbadaa'an
barbadaa'uun,barbadaa'_,Ani barbadaa'e,Nuti barbadaa'ne,Ati barbadaa'te,Isin barbadaa'tan,Inni barbadaa'e,Isheen barbadaa'te,Isaan barbadaa'an
barreessan,barreess_,Ani barreesse,Nuti barreessne,Ati barreesste,Isin barreesstan,Inni barreesse,Isheen barreesste,Isaan barreessan
barreessinu,barreessin_,Ani barreessine,Nuti barreessinne,Ati barreessinte,Isin barreessintan,Inni barreessine,Isheen barreessinte,Isaan barreessinan
barreessu,barreess_,Ani barreesse,Nuti barreessne,Ati barreesste,Isin barreesstan,Inni barreesse,Isheen barreesste,Isaan barreessan
barreessuu,barreess_,Ani barreesse,Nuti barreessne,Ati barreesste,Isin barreesstan,Inni barreesse,Isheen barreesste,Isaan barreessan
barreessuun,barreess_,Ani barreesse,Nuti barreessne,Ati barreesste,Isin barreesstan,Inni barreesse,Isheen barreesste,Isaan barreessan
barreesuu,barrees_,Ani barreese,Nuti barreesne,Ati barreeste,Isin barreestan,Inni barreese,Isheen barreeste,Isaan barreesan
barsiifachuun,barsiifat_,Ani barsiifate,Nuti barsiifatne,Ati barsiifatte,Isin barsiifattan,Inni barsiifate,Isheen barsiifatte,Isaan barsiifatan
barsiisu,barsiis_,Ani barsiise,Nuti barsiisne,Ati barsiiste,Isin barsiistan,Inni barsiise,Isheen barsiiste,Isaan barsiisan
barsiisuu,barsiis_,Ani barsiise,Nuti barsiisne,Ati barsiiste,Isin barsiistan,Inni barsiise,Isheen barsiiste,Isaan barsiisan
baruun,bar_,Ani bare,Nuti barne,Ati barte,Isin bartan,Inni bare,Isheen barte,Isaan baran
base,bas_,Ani base,Nuti basne,Ati baste,Isin bastan,Inni base,Isheen baste,Isaan basan
bayan,bay_,Ani baye,Nuti bayne,Ati bayte,Isin baytan,Inni baye,Isheen bayte,Isaan bayan
bayyanachiisuun,bayyanachiis_,Ani bayyanachiise,Nuti bayyanachiisne,Ati bayyanachiiste,Isin bayyanachiistan,Inni bayyanachiise,Isheen bayyanachiiste,Isaan bayyanachiisan
bayyanatu,bayyanat_,Ani bayyanate,Nuti bayyanatne,Ati bayyanatte,Isin bayyanattan,Inni bayyanate,Isheen bayyanatte,Isaan bayyanatan
ba'e,ba'_,Ani ba'e,Nuti ba'ne,Ati ba'te,Isin ba'tan,Inni ba'e,Isheen ba'te,Isaan ba'an
beekaman,beekam_,Ani beekame,Nuti beekamne,Ati beekamte,Isin beekamtan,Inni beekame,Isheen beekamte,Isaan beekaman
beekame,beekam_,Ani beekame,Nuti beekamne,Ati beekamte,Isin beekamtan,Inni beekame,Isheen beekamte,Isaan beekaman
beekamu,beekam_,Ani beekame,Nuti beekamne,Ati beekamte,Isin beekamtan,Inni beekame,Isheen beekamte,Isaan beekaman
beekamuu,beekam_,Ani beekame,Nuti beekamne,Ati beekamte,Isin beekamtan,Inni beekame,Isheen beekamte,Isaan beekaman
beekkaman,beekkam_,Ani beekkame,Nuti beekkamne,Ati beekkamte,Isin beekkamtan,Inni beekkame,Isheen beekkamte,Isaan beekkaman
beekkamu,beekkam_,Ani beekkame,Nuti beekkamne,Ati beekkamte,Isin beekkamtan,Inni beekkame,Isheen beekkamte,Isaan beekkaman
beekne,beek_,Ani beeke,Nuti beekne,Ati beekte,Isin beektan,Inni beeke,Isheen beekte,Isaan beekan
beeku,beek_,Ani beeke,Nuti beekne,Ati beekte,Isin beektan,Inni beeke,Isheen beekte,Isaan beekan
beekuu,beek_,Ani beeke,Nuti beekne,Ati beekte,Isin beektan,Inni beeke,Isheen beekte,Isaan beekan
beekuun,beek_,Ani beeke,Nuti beekne,Ati beekte,Isin beektan,Inni beeke,Isheen beekte,Isaan beekan
belbeltuu,belbel_,Ani belbele,Nuti belbelne,Ati belbelte,Isin belbeltan,Inni belbele,Isheen belbelte,Isaan belbelan
bicuu,bic_,Ani bice,Nuti bicne,Ati bicte,Isin bictan,Inni bice,Isheen bicte,Isaan bican
biqiluu,biqil_,Ani biqile,Nuti biqilne,Ati biqilte,Isin biqiltan,Inni biqile,Isheen biqilte,Isaan biqilan
biran,bir_,Ani bire,Nuti birne,Ati birte,Isin birtan,Inni bire,Isheen birte,Isaan biran
bittimsuu,bittims_,Ani bittimse,Nuti bittimsne,Ati bittimste,Isin bittimstan,Inni bittimse,Isheen bittimste,Isaan bittimsan
bittuu,bit_,Ani bite,Nuti bitne,Ati bitte,Isin bittan,Inni bite,Isheen bitte,Isaan bitan
bituun,bit_,Ani bite,Nuti bitne,Ati bitte,Isin bittan,Inni bite,Isheen bitte,Isaan bitan
biyyaattuu,biyyaat_,Ani biyyaate,Nuti biyyaatne,Ati biyyaatte,Isin biyyaattan,Inni biyyaate,Isheen biyyaatte,Isaan biyyaatan
biyyoomsuu,biyyooms_,Ani biyyoomse,Nuti biyyoomsne,Ati biyyoomste,Isin biyyoomstan,Inni biyyoomse,Isheen biyyoomste,Isaan biyyoomsan
bobbaafamuu,bobbaafam_,Ani bobbaafame,Nuti bobbaafamne,Ati bobbaafamte,Isin bobbaafamtan,Inni bobbaafame,Isheen bobbaafamte,Isaan bobbaafaman
bobbaane,bobbaa_,Ani bobbaae,Nuti bobbaane,Ati bobbaate,Isin bobbaatan,Inni bobbaae,Isheen bobbaate,Isaan bobbaaan
bobba'an,bobba'_,Ani bobba'e,Nuti bobba'ne,Ati bobba'te,Isin bobba'tan,Inni bobba'e,Isheen bobba'te,Isaan bobba'an
bobba'uu,bobba'_,Ani bobba'e,Nuti bobba'ne,Ati bobba'te,Isin bobba'tan,Inni bobba'e,Isheen bobba'te,Isaan bobba'an
bocamu,bocam_,Ani bocame,Nuti bocamne,Ati bocamte,Isin bocamtan,Inni bocame,Isheen bocamte,Isaan bocaman
bocuu,boc_,Ani boce,Nuti bocne,Ati bocte,Isin boctan,Inni boce,Isheen bocte,Isaan bocan
boru,bor_,Ani bore,Nuti borne,Ati borte,Isin bortan,Inni bore,Isheen borte,Isaan boran
bulan,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
bulchan,bulch_,Ani bulche,Nuti bulchne,Ati bulchte,Isin bulchtan,Inni bulche,Isheen bulchte,Isaan bulchan
bulchiinsaatu,bulchiinsaat_,Ani bulchiinsaate,Nuti bulchiinsaatne,Ati bulchiinsaatte,Isin bulchiinsaattan,Inni bulchiinsaate,Isheen bulchiinsaatte,Isaan bulchiinsaatan
bulchu,bulch_,Ani bulche,Nuti bulchne,Ati bulchte,Isin bulchtan,Inni bulche,Isheen bulchte,Isaan bulchan
bulchuu,bulch_,Ani bulche,Nuti bulchne,Ati bulchte,Isin bulchtan,Inni bulche,Isheen bulchte,Isaan bulchan
bulchuun,bulch_,Ani bulche,Nuti bulchne,Ati bulchte,Isin bulchtan,Inni bulche,Isheen bulchte,Isaan bulchan
bulfannu,bulfat_,Ani bulfate,Nuti bulfatne,Ati bulfatte,Isin bulfattan,Inni bulfate,Isheen bulfatte,Isaan bulfatan
bulfatu,bulfat_,Ani bulfate,Nuti bulfatne,Ati bulfatte,Isin bulfattan,Inni bulfate,Isheen bulfatte,Isaan bulfatan
bulte,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
bultu,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
bulu,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
buluu,bul_,Ani bule,Nuti bulne,Ati bulte,Isin bultan,Inni bule,Isheen bulte,Isaan bulan
buqqa'uun,buqqa'_,Ani buqqa'e,Nuti buqqa'ne,Ati buqqa'te,Isin buqqa'tan,Inni buqqa'e,Isheen buqqa'te,Isaan buqqa'an
buqqisuu,buqqis_,Ani buqqise,Nuti buqqisne,Ati buqqiste,Isin buqqistan,Inni buqqise,Isheen buqqiste,Isaan buqqisan
burkuteessine,burkuteessi_,Ani burkuteessie,Nuti burkuteessine,Ati burkuteessite,Isin burkuteessitan,Inni burkuteessie,Isheen burkuteessite,Isaan burkuteessian
busheessuu,busheess_,Ani busheesse,Nuti busheessne,Ati busheesste,Isin busheesstan,Inni busheesse,Isheen busheesste,Isaan busheessan
busheessuun,busheess_,Ani busheesse,Nuti busheessne,Ati busheesste,Isin busheesstan,Inni busheesse,Isheen busheesste,Isaan busheessan
buufame,buufam_,Ani buufame,Nuti buufamne,Ati buufamte,Isin buufamtan,Inni buufame,Isheen buufamte,Isaan buufaman
buufamuu,buufam_,Ani buufame,Nuti buufamne,Ati buufamte,Isin buufamtan,Inni buufame,Isheen buufamte,Isaan buufaman
buufamuun,buufam_,Ani buufame,Nuti buufamne,Ati buufamte,Isin buufamtan,Inni buufame,Isheen buufamte,Isaan buufaman
buufatuu,buufa_,Ani buufae,Nuti buufane,Ati buufate,Isin buufatan,Inni buufae,Isheen buufate,Isaan buufaan
buufne,buuf_,Ani buufe,Nuti buufne,Ati buufte,Isin buuftan,Inni buufe,Isheen buufte,Isaan buufan
buufnu,buuf_,Ani buufe,Nuti buufne,Ati buufte,Isin buuftan,Inni buufe,Isheen buufte,Isaan buufan
buusu,buus_,Ani buuse,Nuti buusne,Ati buuste,Isin buustan,Inni buuse,Isheen buuste,Isaan buusan
buusuu,buus_,Ani buuse,Nuti buusne,Ati buuste,Isin buustan,Inni buuse,Isheen buuste,Isaan buusan
buusuun,buus_,Ani buuse,Nuti buusne,Ati buuste,Isin buustan,Inni buuse,Isheen buuste,Isaan buusan
bu'an,bu'_,Ani bu'e,Nuti bu'ne,Ati bu'te,Isin bu'tan,Inni bu'e,Isheen bu'te,Isaan bu'an
bu'e,bu'_,Ani bu'e,Nuti bu'ne,Ati bu'te,Isin bu'tan,Inni bu'e,Isheen bu'te,Isaan bu'an
bu'u,bu'_,Ani bu'e,Nuti bu'ne,Ati bu'te,Isin bu'tan,Inni bu'e,Isheen bu'te,Isaan bu'an
bu'uu,bu'_,Ani bu'e,Nuti bu'ne,Ati bu'te,Isin bu'tan,Inni bu'e,Isheen bu'te,Isaan bu'an
bu'uun,bu'_,Ani bu'e,Nuti bu'ne,Ati bu'te,Isin bu'tan,Inni bu'e,Isheen bu'te,Isaan bu'an
